True Class, Assigned Class, Correct, Predicted Score, C0, C1, C2, C3, C4, C5, C6, C7, C8, C9
7, 7, 1, 0.993955213278, 0.000249113472975, 2.56424961838e-06, 0.00046948231797, 0.00419108493896, 3.82201879864e-05, 5.78869318588e-05, 8.56386131213e-07, 0.993955213278, 3.25685105445e-05, 0.00100300972573, 
2, 2, 1, 0.919670202417, 0.00588701478176, 0.00232988272437, 0.919670202417, 0.0174006194744, 0.000572002259067, 0.030847653251, 0.0181839832074, 0.000529758163842, 0.00394667221619, 0.000632211505341, 
1, 1, 1, 0.989033817937, 6.62054662601e-05, 0.989033817937, 0.00428051623901, 0.00124020173797, 0.000254083165842, 0.00054393992563, 0.000329204403573, 0.00231111428599, 0.00160202697002, 0.00033888986854, 
0, 0, 1, 0.999812189978, 0.999812189978, 6.2174671893e-08, 7.10071759578e-05, 6.1568392212e-06, 9.15789758473e-07, 3.78483650518e-05, 6.16567873392e-05, 1.26530128298e-06, 1.13519702818e-06, 7.76239142934e-06, 
4, 4, 1, 0.977849628008, 0.000197528605039, 8.06747989361e-05, 0.00254365492264, 0.000245351283185, 0.977849628008, 0.000122537146077, 0.000499641445682, 0.00478350527078, 0.00082694285182, 0.0128505356675, 
1, 1, 1, 0.993594169789, 1.71757324106e-05, 0.993594169789, 0.00110004769681, 0.000782133089335, 8.32797164772e-05, 5.6968211852e-05, 9.45784889715e-06, 0.00273300509271, 0.00131263021499, 0.000311132607329, 
4, 4, 1, 0.984818532146, 0.000160473419536, 5.44517681534e-05, 0.000155656453704, 0.000899175547341, 0.984818532146, 0.00154671950615, 0.00011803849843, 0.00145071168225, 0.00725612478038, 0.00354011619762, 
9, 9, 1, 0.96250173525, 0.000114162831092, 0.00116460199759, 0.00202452146661, 0.0070031653969, 0.00885834351269, 0.0111962540333, 0.000599951346365, 0.00445941412185, 0.00207785004373, 0.96250173525, 
5, 6, 0, 0.891419196258, 0.00474019602231, 0.00239899746797, 0.0257048871761, 0.00328736232717, 0.0410849718946, 0.0118617276567, 0.891419196258, 0.0014692171445, 0.00371940354189, 0.0143140405104, 
9, 9, 1, 0.970643362286, 5.22552086622e-05, 5.0123811471e-06, 4.5707105342e-05, 1.78353820708e-05, 0.0145849046766, 1.01760674498e-05, 1.42043512301e-05, 0.0139835551631, 0.000642987377919, 0.970643362286, 
